frase,label,prefijo,raiz,sufijo,apostrofe,persona,error
laadu gudxidu,1,laadu,gudxi,du,0,1pl_exc,⁠error_apostrofe
laatu gudxitu,1,laatu,gudxi,tu,0,2pl,⁠error_apostrofe
naa bisana,1,naa,bisana,ZERO,0,1sg,⁠error_apostrofe
lii bisanalu,1,lii,bisana,lu,0,2sg,⁠error_apostrofe
laabe bisanabe,1,laabe,bisana,be,0,3sg,⁠error_apostrofe
laanu bisananu,1,laanu,bisana,nu,0,1pl_incl,⁠error_apostrofe
laadu bisanadu,1,laadu,bisana,du,0,1pl_exc,⁠error_apostrofe
laatu bisanatu,1,laatu,bisana,tu,0,2pl,⁠error_apostrofe
naa guse,1,naa,guse,ZERO,0,1sg,⁠error_apostrofe
lii gusilu,1,lii,gusi,lu,0,2sg,⁠error_apostrofe
laabe gusibe,1,laabe,gusi,be,0,3sg,⁠error_apostrofe
laanu gusinu,1,laanu,gusi,nu,0,1pl_incl,⁠error_apostrofe
laadu gusidu,1,laadu,gusi,du,0,1pl_exc,⁠error_apostrofe
laatu gusitu,1,laatu,gusi,tu,0,2pl,⁠error_apostrofe
naa guliá,1,naa,guliá,ZERO,0,1sg,⁠error_apostrofe
lii gulilu,1,lii,guli,lu,0,2sg,⁠error_apostrofe
laabe gulibe,1,laabe,guli,be,0,3sg,⁠error_apostrofe
laanu gulinu,1,laanu,guli,nu,0,1pl_incl,⁠error_apostrofe
laadul gulidu,1,laadu,guli,du,0,1pl_exc,⁠error_apostrofe
laatu gulitu,1,laatu,guli,tu,0,2pl,⁠error_apostrofe
naa bizuloá,1,naa,bizuloá,ZERO,0,1sg,⁠error_apostrofe
lii bizulolu,1,lii,bizulo,lu,0,2sg,⁠error_apostrofe
laabe bizulóbe,1,laabe,bizuló,be,0,3sg,⁠error_apostrofe
laanu bizulonu,1,laanu,bizulo,nu,0,1pl_incl,⁠error_apostrofe
laadu bizulodu,1,laadu,bizulo,du,0,1pl_exc,⁠error_apostrofe
laatu bizulotu,1,laatu,bizulo,tu,0,2pl,⁠error_apostrofe
naa bidxela,1,naa,bidxela,ZERO,0,1sg,⁠error_apostrofe
lii bidxelalu,1,lii,bidxela,lu,0,2sg,⁠error_apostrofe
laabe bidxelabe,1,laabe,bidxela,be,0,3sg,⁠error_apostrofe
laanu bidxelanu,1,laanu,bidxela,nu,0,1pl_incl,⁠error_apostrofe
laadu bidxeladu,1,laadu,bidxela,du,0,1pl_exc,⁠error_apostrofe
laatu bidxelatu,1,laatu,bidxela,tu,0,2pl,⁠error_apostrofe
naa guca huaraya,1,naa,guca huaraya,ZERO,0,1sg,⁠error_apostrofe
lii guca huaralu,1,lii,guca huara,lu,0,2sg,⁠error_apostrofe
laabe guca huarabe,1,laabe,guca huara,be,0,3sg,⁠error_apostrofe
laanu guca huaranu,1,laanu,guca huara,nu,0,1pl_incl,⁠error_apostrofe
laadu guca huaradu,1,laadu,guca huara,du,0,1pl_exc,⁠error_apostrofe
laatu guca huaratu,1,laatu,guca huara,tu,0,2pl,⁠error_apostrofe
naa bisiide,1,naa,bisiide,ZERO,0,1sg,⁠error_apostrofe
lii bissidilu,1,lii,bissidi,lu,0,2sg,⁠error_apostrofe
laabe bissidibe,1,laabe,bissidi,be,0,3sg,⁠error_apostrofe
laanu bissidinu,1,laanu,bissidi,nu,0,1pl_incl,⁠error_apostrofe
laadu bissididu,1,laadu,bissidi,du,0,1pl_exc,⁠error_apostrofe
laatu bissiditu,1,laatu,bissidi,tu,0,2pl,⁠error_apostrofe
naa bioá,1,naa,bioá,ZERO,0,1sg,⁠error_apostrofe
lii bioalu,1,lii,bioa,lu,0,2sg,⁠error_apostrofe
laabe bioabe,1,laabe,bioa,be,0,3sg,⁠error_apostrofe
laanu bioanu,1,laanu,bioa,nu,0,1pl_incl,⁠error_apostrofe
laadu bioadu,1,laadu,bioa,du,0,1pl_exc,⁠error_apostrofe
laatu bioatu,1,laatu,bioa,tu,0,2pl,⁠error_apostrofe
naa bisenda,1,naa,bisenda,ZERO,0,1sg,⁠error_apostrofe
lii bisendalu,1,lii,bisenda,lu,0,2sg,⁠error_apostrofe
laabe bisendabe,1,laabe,bisenda,be,0,3sg,⁠error_apostrofe
laanu bisendanu,1,laanu,bisenda,nu,0,1pl_incl,⁠error_apostrofe
laadu bisendadu,1,laadu,bisenda,du,0,1pl_exc,⁠error_apostrofe
laatu bisendatu,1,laatu,bisenda,tu,0,2pl,⁠error_apostrofe
naa bicáa,1,naa,bicáa,ZERO,0,1sg,⁠error_apostrofe
lii bicaalu,1,lii,bicaa,lu,0,2sg,⁠error_apostrofe
laabe bicaabe,1,laabe,bicaa,be,0,3sg,⁠error_apostrofe
laanu bicaanu,1,laanu,bicaa,nu,0,1pl_incl,⁠error_apostrofe
laadu bicaadu,1,laadu,bicaa,du,0,1pl_exc,⁠error_apostrofe
laatu bicaatu,1,laatu,bicaa,tu,0,2pl,⁠error_apostrofe
naa biina,1,naa,biina,ZERO,0,1sg,⁠error_apostrofe
lii biinalu,1,lii,biina,lu,0,2sg,⁠error_apostrofe
laabe biinabe,1,laabe,biina,be,0,3sg,⁠error_apostrofe
laanu biinanu,1,laanu,biina,nu,0,1pl_incl,⁠error_apostrofe
laadu biinadu,1,laadu,biina,du,0,1pl_exc,⁠error_apostrofe
laatu biinatu,1,laatu,biina,tu,0,2pl,⁠error_apostrofe
naa guleeza,1,naa,guleeza,ZERO,0,1sg,⁠error_apostrofe
lii guleezalu,1,lii,guleeza,lu,0,2sg,⁠error_apostrofe
laabe guleezabe,1,laabe,guleeza,be,0,3sg,⁠error_apostrofe
laanu guleezanu,1,laanu,guleeza,nu,0,1pl_incl,⁠error_apostrofe
laadu guleezadu,1,laadu,guleeza,du,0,1pl_exc,⁠error_apostrofe
laatu guleezatu,1,laatu,guleeza,tu,0,2pl,⁠error_apostrofe
naa biziide,1,naa,biziide,ZERO,0,1sg,⁠error_apostrofe
lii biziidilu,1,lii,biziidi,lu,0,2sg,⁠error_apostrofe
laabe biziidibe,1,laabe,biziidi,be,0,3sg,⁠error_apostrofe
laanu biziidinu,1,laanu,biziidi,nu,0,1pl_incl,⁠error_apostrofe
laadu biziididu,1,laadu,biziidi,du,0,1pl_exc,⁠error_apostrofe
laatu biziiditu,1,laatu,biziidi,tu,0,2pl,⁠error_apostrofe
naa guniá,1,naa,guniá,ZERO,0,1sg,⁠error_apostrofe
lii gunilu,1,lii,guni,lu,0,2sg,⁠error_apostrofe
laabe gunibe,1,laabe,guni,be,0,3sg,⁠error_apostrofe
laanu guninu,1,laanu,guni,nu,0,1pl_incl,⁠error_apostrofe
laadu gunidu,1,laadu,guni,du,0,1pl_exc,⁠error_apostrofe
laatu gunitu,1,laatu,guni,tu,0,2pl,⁠error_apostrofe
naa bine,1,naa,bine,ZERO,0,1sg,⁠error_apostrofe
lii binilu,1,lii,bini,lu,0,2sg,⁠error_apostrofe
laabe binibe,1,laabe,bini,be,0,3sg,⁠error_apostrofe
laanu bininu,1,laanu,bini,nu,0,1pl_incl,⁠error_apostrofe
laadu binidu,1,laadu,bini,du,0,1pl_exc,⁠error_apostrofe
laatu binitu,1,laatu,bini,tu,0,2pl,⁠error_apostrofe
naa guyá,1,naa,guyá,ZERO,0,1sg,⁠error_apostrofe
lii guyelu,1,lii,guye,lu,0,2sg,⁠error_apostrofe
laabe guyebe,1,laabe,guye,be,0,3sg,⁠error_apostrofe
laanu guyenu,1,laanu,guye,nu,0,1pl_incl,⁠error_apostrofe
laadu guyedu,1,laadu,guye,du,0,1pl_exc,⁠error_apostrofe
laatu guyetu,1,laatu,guye,tu,0,2pl,⁠error_apostrofe
naa gudxite,1,naa,gudxite,ZERO,0,1sg,⁠error_apostrofe
lii gudxitelu,1,lii,gudxite,lu,0,2sg,⁠error_apostrofe
laabe gudxitebe,1,laabe,gudxite,be,0,3sg,⁠error_apostrofe
laanu gudxitenu,1,laanu,gudxite,nu,0,1pl_incl,⁠error_apostrofe
laadu gudxitedu,1,laadu,gudxite,du,0,1pl_exc,⁠error_apostrofe
laatu gudxitetu,1,laatu,gudxite,tu,0,2pl,⁠error_apostrofe
naa binda,1,naa,binda,ZERO,0,1sg,⁠error_apostrofe
lii bindalu,1,lii,binda,lu,0,2sg,⁠error_apostrofe
laabe bindabe,1,laabe,binda,be,0,3sg,⁠error_apostrofe
laanu bindanu,1,laanu,binda,nu,0,1pl_incl,⁠error_apostrofe
laadu bindadu,1,laadu,binda,du,0,1pl_exc,⁠error_apostrofe
laatu bindatu,1,laatu,binda,tu,0,2pl,⁠error_apostrofe
naa bisiaya,1,naa,bisiaya,ZERO,0,1sg,⁠error_apostrofe
lii bisialu,1,lii,bisia,lu,0,2sg,⁠error_apostrofe
laabe bisiabe,1,laabe,bisia,be,0,3sg,⁠error_apostrofe
laanu bisianu,1,laanu,bisia,nu,0,1pl_incl,⁠error_apostrofe
laadu bisiadu,1,laadu,bisia,du,0,1pl_exc,⁠error_apostrofe
laatu bisiatu,1,laatu,bisia,tu,0,2pl,⁠error_apostrofe
naa yendaaya,1,naa,yendaaya,ZERO,0,1sg,⁠error_apostrofe
lii yendaalu,1,lii,yendaa,lu,0,2sg,⁠error_apostrofe
laabe yendaabe,1,laabe,yendaa,be,0,3sg,⁠error_apostrofe
laanu yendaanu,1,laanu,yendaa,nu,0,1pl_incl,⁠error_apostrofe
laadu yendaodu,1,laadu,yendao,du,0,1pl_exc,⁠error_apostrofe
laatu yendaotu,1,laatu,yendao,tu,0,2pl,⁠error_apostrofe
naa yeneá,1,naa,yeneá,ZERO,0,1sg,⁠error_apostrofe
lii yenelu,1,lii,yene,lu,0,2sg,⁠error_apostrofe
laabe yenebe,1,laabe,yene,be,0,3sg,⁠error_apostrofe
laanu yunenu,1,laanu,yune,nu,0,1pl_incl,⁠error_apostrofe
laadu yunedu,1,laadu,yune,du,0,1pl_exc,⁠error_apostrofe
laatu yunetu,1,laatu,yune,tu,0,2pl,⁠error_apostrofe
naa bisaaya,1,naa,bisaaya,ZERO,0,1sg,⁠error_apostrofe
lii bisaalu,1,lii,bisaa,lu,0,2sg,⁠error_apostrofe
laabe bisaabe,1,laabe,bisaa,be,0,3sg,⁠error_apostrofe
laanu bisaanu,1,laanu,bisaa,nu,0,1pl_incl,⁠error_apostrofe
laadu bisaadu,1,laadu,bisaa,du,0,1pl_exc,⁠error_apostrofe
laatu bisaatu,1,laatu,bisaa,tu,0,2pl,⁠error_apostrofe
naa biyadxiá,1,naa,biyadxiá,ZERO,0,1sg,⁠error_apostrofe
lii biyadxilu,1,lii,biyadxi,lu,0,2sg,⁠error_apostrofe
laabe biyadxibe,1,laabe,biyadxi,be,0,3sg,⁠error_apostrofe
laanu biyadxinu,1,laanu,biyadxi,nu,0,1pl_incl,⁠error_apostrofe
laadu biyadxidu,1,laadu,biyadxi,du,0,1pl_exc,⁠error_apostrofe
laatu biyadxitu,1,laatu,biyadxi,tu,0,2pl,⁠error_apostrofe
naa bixoba,1,naa,bixoba,ZERO,0,1sg,⁠error_apostrofe
lii bixobalu,1,lii,bixoba,lu,0,2sg,⁠error_apostrofe
laabe bixobabe,1,laabe,bixoba,be,0,3sg,⁠error_apostrofe
laanu bixobanu,1,laanu,bixoba,nu,0,1pl_incl,⁠error_apostrofe
laadu bixobadu,1,laadu,bixoba,du,0,1pl_exc,⁠error_apostrofe
laatu bixobatu,1,laatu,bixoba,tu,0,2pl,⁠error_apostrofe
naa bisianda,1,naa,bisianda,ZERO,0,1sg,⁠error_apostrofe
lii bisiandalu,1,lii,bisianda,lu,0,2sg,⁠error_apostrofe
laabe bisiandabe,1,laabe,bisianda,be,0,3sg,⁠error_apostrofe
laanu bisiandanu,1,laanu,bisianda,nu,0,1pl_incl,⁠error_apostrofe
laadu bisiandadu,1,laadu,bisianda,du,0,1pl_exc,⁠error_apostrofe
laatu bisiandatu,1,laatu,bisianda,tu,0,2pl,⁠error_apostrofe
naa bisugaa,1,naa,bisugaa,ZERO,0,1sg,⁠error_apostrofe
lii bisugaalu,1,lii,bisugaa,lu,0,2sg,⁠error_apostrofe
laabe bisugaabe,1,laabe,bisugaa,be,0,3sg,⁠error_apostrofe
laanu bisugaanu,1,laanu,bisugaa,nu,0,1pl_incl,⁠error_apostrofe
laadu bisugaadu,1,laadu,bisugaa,du,0,1pl_exc,⁠error_apostrofe
laatu bisugaatu,1,laatu,bisugaa,tu,0,2pl,⁠error_apostrofe
naa gudiide,1,naa,gudiide,ZERO,0,1sg,⁠error_apostrofe
lii gudiidilu,1,lii,gudiidi,lu,0,2sg,⁠error_apostrofe
laabe gudiidibe,1,laabe,gudiidi,be,0,3sg,⁠error_apostrofe
laanu gudiidinu,1,laanu,gudiidi,nu,0,1pl_incl,⁠error_apostrofe
laadu gudiididu,1,laadu,gudiidi,du,0,1pl_exc,⁠error_apostrofe
laatu gudiiditu,1,laatu,gudiidi,tu,0,2pl,⁠error_apostrofe
naa gunaba,1,naa,gunaba,ZERO,0,1sg,⁠error_apostrofe
lii gunabalu,1,lii,gunaba,lu,0,2sg,⁠error_apostrofe
laabe gunababe,1,laabe,gunaba,be,0,3sg,⁠error_apostrofe
laanu gunabanu,1,laanu,gunaba,nu,0,1pl_incl,⁠error_apostrofe
laadu gunabadu,1,laadu,gunaba,du,0,1pl_exc,⁠error_apostrofe
laatu gunabatu,1,laatu,gunaba,tu,0,2pl,⁠error_apostrofe
naa bicá,1,naa,bicá,ZERO,0,1sg,⁠error_apostrofe
lii bicalu,1,lii,bica,lu,0,2sg,⁠error_apostrofe
laabe bicabe,1,laabe,bica,be,0,3sg,⁠error_apostrofe
laanu bicanu,1,laanu,bica,nu,0,1pl_incl,⁠error_apostrofe
laadu bicadu,1,laadu,bica,du,0,1pl_exc,⁠error_apostrofe
laatu bicatu,1,laatu,bica,tu,0,2pl,⁠error_apostrofe
naa guni ique,1,naa,guni ique,ZERO,0,1sg,⁠error_apostrofe
lii guni iquelu,1,lii,guni ique,lu,0,2sg,⁠error_apostrofe
laabe guni iquebe,1,laabe,guni ique,be,0,3sg,⁠error_apostrofe
laanu guni iquenu,1,laanu,guni ique,nu,0,1pl_incl,⁠error_apostrofe
laadu guni iquedu,1,laadu,guni ique,du,0,1pl_exc,⁠error_apostrofe
laatu guni iquetu,1,laatu,guni ique,tu,0,2pl,⁠error_apostrofe
naa biui diidxa,1,naa,biui diidxa,ZERO,0,1sg,⁠error_apostrofe
lii biuilu diidxa,1,lii,biui diidxa,lu,0,2sg,⁠error_apostrofe
laabe biuibe diidxa,1,laabe,biui diidxa,be,0,3sg,⁠error_apostrofe
laanu biuinu diidxa,1,laanu,biui diidxa,nu,0,1pl_incl,⁠error_apostrofe
laadu biuidu diidxa,1,laadu,biui diidxa,du,0,1pl_exc,⁠error_apostrofe
laatu biuitu diidxa,1,laatu,biui diidxa,tu,0,2pl,⁠error_apostrofe
naa gudxhe,1,naa,gudxhe,ZERO,0,1sg,⁠error_apostrofe
lii gudxhelu,1,lii,gudxhe,lu,0,2sg,⁠error_apostrofe
laabe gudxhebe,1,laabe,gudxhe,be,0,3sg,⁠error_apostrofe
laanu gudxhenu,1,laanu,gudxhe,nu,0,1pl_incl,⁠error_apostrofe
laadu gudxhedu,1,laadu,gudxhe,du,0,1pl_exc,⁠error_apostrofe
laatu gudxhetu,1,laatu,gudxhe,tu,0,2pl,⁠error_apostrofe
naa bitiñe,1,naa,bitiñe,ZERO,0,1sg,⁠error_apostrofe
lii bitiñelu,1,lii,bitiñe,lu,0,2sg,⁠error_apostrofe
laabe bitinebe,1,laabe,bitine,be,0,3sg,⁠error_apostrofe
laanu bitinenu,1,laanu,bitine,nu,0,1pl_incl,⁠error_apostrofe
laadu bitinedu,1,laadu,bitine,du,0,1pl_exc,⁠error_apostrofe
laatu bitinetu,1,laatu,bitine,tu,0,2pl,⁠error_apostrofe
naa gunna,1,naa,gunna,ZERO,0,1sg,⁠error_apostrofe
lii gunnalu,1,lii,gunna,lu,0,2sg,⁠error_apostrofe
laabe gunnabe,1,laabe,gunna,be,0,3sg,⁠error_apostrofe
laanu gunnanu,1,laanu,gunna,nu,0,1pl_incl,⁠error_apostrofe
laadu gunnadu,1,laadu,gunna,du,0,1pl_exc,⁠error_apostrofe
laatu gunnatu,1,laatu,gunna,tu,0,2pl,⁠error_apostrofe
naa bireá,1,naa,bireá,ZERO,0,1sg,⁠error_apostrofe
lii birelu,1,lii,bire,lu,0,2sg,⁠error_apostrofe
laabe birebe,1,laabe,bire,be,0,3sg,⁠error_apostrofe
laanu birenu,1,laanu,bire,nu,0,1pl_incl,⁠error_apostrofe
laadu biredu,1,laadu,bire,du,0,1pl_exc,⁠error_apostrofe
laatu biretu,1,laatu,bire,tu,0,2pl,⁠error_apostrofe
naa bisianda,1,naa,bisianda,ZERO,0,1sg,⁠error_apostrofe
lii bisiandalu,1,lii,bisianda,lu,0,2sg,⁠error_apostrofe
laabe bisiandabe,1,laabe,bisianda,be,0,3sg,⁠error_apostrofe
laanu bisiandanu,1,laanu,bisianda,nu,0,1pl_incl,⁠error_apostrofe
laadu bisiandadu,1,laadu,bisianda,du,0,1pl_exc,⁠error_apostrofe
laatu bisiandatu,1,laatu,bisianda,tu,0,2pl,⁠error_apostrofe
naa guyá,1,naa,guyá,ZERO,0,1sg,⁠error_apostrofe
lii guyelu,1,lii,guye,lu,0,2sg,⁠error_apostrofe
laabe guyebe,1,laabe,guye,be,0,3sg,⁠error_apostrofe
laanu guyenu,1,laanu,guye,nu,0,1pl_incl,⁠error_apostrofe
laadu guyedu,1,laadu,guye,du,0,1pl_exc,⁠error_apostrofe
laatu guyetu,1,laatu,guye,tu,0,2pl,⁠error_apostrofe
naa gudxiba,1,naa,gudxiba,ZERO,0,1sg,⁠error_apostrofe
lii gudxibalu,1,lii,gudxiba,lu,0,2sg,⁠error_apostrofe
laabe gudxibabe,1,laabe,gudxiba,be,0,3sg,⁠error_apostrofe
laanu gudxibanu,1,laanu,gudxiba,nu,0,1pl_incl,⁠error_apostrofe
laadu gudxibadu,1,laadu,gudxiba,du,0,1pl_exc,⁠error_apostrofe
laatu gudxibatu,1,laatu,gudxiba,tu,0,2pl,⁠error_apostrofe
naa gupa,1,naa,gupa,ZERO,0,1sg,⁠error_apostrofe
lii gupalu,1,lii,gupa,lu,0,2sg,⁠error_apostrofe
laabe gupabe,1,laabe,gupa,be,0,3sg,⁠error_apostrofe
laanu gupanu,1,laanu,gupa,nu,0,1pl_incl,⁠error_apostrofe
laadu gupadu,1,laadu,gupa,du,0,1pl_exc,⁠error_apostrofe
laatu gupatu,1,laatu,gupa,tu,0,2pl,⁠error_apostrofe
naa hueá,1,naa,hueá,ZERO,0,1sg,⁠error_apostrofe
lii huelu,1,lii,hue,lu,0,2sg,⁠error_apostrofe
laabe huebe,1,laabe,hue,be,0,3sg,⁠error_apostrofe
laanu huenú,1,laanu,hue,nu,0,1pl_incl,⁠error_apostrofe
laadu huedu,1,laadu,hue,du,0,1pl_exc,⁠error_apostrofe
laatu huetu,1,laatu,hue,tu,0,2pl,⁠error_apostrofe
naa bine dxiiña,1,naa,bine dxiiña,ZERO,0,1sg,⁠error_apostrofe
lii bini dxiiñalu,1,lii,bini dxiiña,lu,0,2sg,⁠error_apostrofe
laabe bini dxiiñabe,1,laabe,bini dxiiña,be,0,3sg,⁠error_apostrofe
laanu bini dxiiñanu,1,laanu,bini dxiiña,nu,0,1pl_incl,⁠error_apostrofe
laadu bini dxiiñadu,1,laadu,bini dxiiña,du,0,1pl_exc,⁠error_apostrofe
laatu bini dxiiñatu,1,laatu,bini dxiiña,tu,0,2pl,⁠error_apostrofe
naa bedaneá,1,naa,bedaneá,ZERO,0,1sg,⁠error_apostrofe
lii bendanelu,1,lii,bendane,lu,0,2sg,⁠error_apostrofe
laabe bendanebe,1,laabe,bendane,be,0,3sg,⁠error_apostrofe
laanu bendanenu,1,laanu,bendane,nu,0,1pl_incl,⁠error_apostrofe
laadu bendanedu,1,laadu,bendane,du,0,1pl_exc,⁠error_apostrofe
laatu bendanetu,1,laatu,bendane,tu,0,2pl,⁠error_apostrofe
naa biquiñe,1,naa,biquiñe,ZERO,0,1sg,⁠error_apostrofe
lii biquinelu,1,lii,biquine,lu,0,2sg,⁠error_apostrofe
laabe biquinebe,1,laabe,biquine,be,0,3sg,⁠error_apostrofe
laanu biquinenu,1,laanu,biquine,nu,0,1pl_incl,⁠error_apostrofe
laadu biquinedu,1,laadu,biquine,du,0,1pl_exc,⁠error_apostrofe
laatu biquinetu,1,laatu,biquine,tu,0,2pl,⁠error_apostrofe
naa biá,1,naa,biá,ZERO,0,1sg,⁠error_apostrofe
lii biálu,1,lii,biá,lu,0,2sg,⁠error_apostrofe
laabe biábe,1,laabe,biá,be,0,3sg,⁠error_apostrofe
laanu bidúyanu,1,laanu,bidúya,nu,0,1pl_incl,⁠error_apostrofe
laadu bidúyadu,1,laadu,bidúya,du,0,1pl_exc,⁠error_apostrofe
laatu bidúyatu,1,laatu,bidúya,tu,0,2pl,⁠error_apostrofe
naa yeganna,1,naa,yeganna,ZERO,0,1sg,⁠error_apostrofe
lii yegannalu,1,lii,yeganna,lu,0,2sg,⁠error_apostrofe
laabe yegannabe,1,laabe,yeganna,be,0,3sg,⁠error_apostrofe
laanu yegannanu,1,laanu,yeganna,nu,0,1pl_incl,⁠error_apostrofe
laadu yegannadu,1,laadu,yeganna,du,0,1pl_exc,⁠error_apostrofe
laatu yegannatu,1,laatu,yeganna,tu,0,2pl,⁠error_apostrofe
naa guleza,1,naa,guleza,ZERO,0,1sg,⁠error_apostrofe
lii gulezalu,1,lii,guleza,lu,0,2sg,⁠error_apostrofe
laabe gulezabe,1,laabe,guleza,be,0,3sg,⁠error_apostrofe
laanu gulezanu,1,laanu,guleza,nu,0,1pl_incl,⁠error_apostrofe
laadu gulezadu,1,laadu,guleza,du,0,1pl_exc,⁠error_apostrofe
laatu gulezatu,1,laatu,guleza,tu,0,2pl,⁠error_apostrofe
naa ubigueta,1,naa,ubigueta,ZERO,0,1sg,⁠error_apostrofe
lii ubiguetalu,1,lii,ubigueta,lu,0,2sg,⁠error_apostrofe
laabe ubiguetabe,1,laabe,ubigueta,be,0,3sg,⁠error_apostrofe
laanu ubiguetanu,1,laanu,ubigueta,nu,0,1pl_incl,⁠error_apostrofe
laadu ubiguetadu,1,laadu,ubigueta,du,0,1pl_exc,⁠error_apostrofe
laatu ubiguetatu,1,laatu,ubigueta,tu,0,2pl,⁠error_apostrofe
naa guuta'lu,0,naa,guuta,lu,1,1sg,⁠error_concordancia
lii guuta,0,lii,guuta,ZERO,0,2sg,⁠error_concordancia
laabe guuta'lu,0,laabe,guuta,lu,1,3sg,⁠error_concordancia
laanu guuta'du,0,laanu,guuta,du,1,1pl_incl,⁠error_concordancia
laadu guuta'nu,0,laadu,guuta,nu,1,1pl_exc,⁠error_concordancia
laatu guuta,0,laatu,guuta,ZERO,0,2pl,⁠error_concordancia
naa gunaxhia'lu,0,naa,gunaxhia,lu,1,1sg,⁠error_concordancia
lii gunaxhii,0,lii,gunaxhii,ZERO,0,2sg,⁠error_concordancia
laabe gunaxhii'lu,0,laabe,gunaxhii,lu,1,3sg,⁠error_concordancia
laanu gunaxhii'du,0,laanu,gunaxhii,du,1,1pl_incl,⁠error_concordancia
laadu gunaxhii'nu,0,laadu,gunaxhii,nu,1,1pl_exc,⁠error_concordancia
laatu gunaxhii,0,laatu,gunaxhii,ZERO,0,2pl,⁠error_concordancia
naa biziide'lu,0,naa,biziide,lu,1,1sg,⁠error_concordancia
lii biziidi,0,lii,biziidi,ZERO,0,2sg,⁠error_concordancia
laabe biziidi'lu,0,laabe,biziidi,lu,1,3sg,⁠error_concordancia
laanu biziidi'du,0,laanu,biziidi,du,1,1pl_incl,⁠error_concordancia
laadu biziidi'nu,0,laadu,biziidi,nu,1,1pl_exc,⁠error_concordancia
laatu biziidi,0,laatu,biziidi,ZERO,0,2pl,⁠error_concordancia
naa guuze'lu,0,naa,guuze,lu,1,1sg,⁠error_concordancia
lii guuze,0,lii,guuze,ZERO,0,2sg,⁠error_concordancia
laabe guuze'lu,0,laabe,guuze,lu,1,3sg,⁠error_concordancia
laanu guuze'du,0,laanu,guuze,du,1,1pl_incl,⁠error_concordancia
laadu guuze'nu,0,laadu,guuze,nu,1,1pl_exc,⁠error_concordancia
laatu guuze,0,laatu,guuze,ZERO,0,2pl,⁠error_concordancia
naa biinda'lu,0,naa,biinda,lu,1,1sg,⁠error_concordancia
lii biinda,0,lii,biinda,ZERO,0,2sg,⁠error_concordancia
laabe biinda'lu,0,laabe,biinda,lu,1,3sg,⁠error_concordancia
laanu biinda'du,0,laanu,biinda,du,1,1pl_incl,⁠error_concordancia
laadu biinda'nu,0,laadu,biinda,nu,1,1pl_exc,⁠error_concordancia
laatu biinda,0,laatu,biinda,ZERO,0,2pl,⁠error_concordancia
naa guziá'lu,0,naa,guziá,lu,1,1sg,⁠error_concordancia
lii guzi,0,lii,guzi,ZERO,0,2sg,⁠error_concordancia
laabe guzi'lu,0,laabe,guzi,lu,1,3sg,⁠error_concordancia
laanu guzi'du,0,laanu,guzi,du,1,1pl_incl,⁠error_concordancia
laadu guzi'nu,0,laadu,guzi,nu,1,1pl_exc,⁠error_concordancia
laatu guzi,0,laatu,guzi,ZERO,0,2pl,⁠error_concordancia
naa binebiá'lu,0,naa,binebiá,lu,1,1sg,⁠error_concordancia
lii binibiá,0,lii,binibiá,ZERO,0,2sg,⁠error_concordancia
laabe binibia'lu,0,laabe,binibia,lu,1,3sg,⁠error_concordancia
laanu binibiá'du,0,laanu,binibiá,du,1,1pl_incl,⁠error_concordancia
laadu binibiá'nu,0,laadu,binibiá,nu,1,1pl_exc,⁠error_concordancia
laatu binibiá,0,laatu,binibiá,ZERO,0,2pl,⁠error_concordancia
naa bixoñe'lu,0,naa,bixoñe,lu,1,1sg,⁠error_concordancia
lii bixoñe,0,lii,bixoñe,ZERO,0,2sg,⁠error_concordancia
laabe bixoñe'lu,0,laabe,bixoñe,lu,1,3sg,⁠error_concordancia
laanu bixoñe'du,0,laanu,bixoñe,du,1,1pl_incl,⁠error_concordancia
laadu bixoñe'nu,0,laadu,bixoñe,nu,1,1pl_exc,⁠error_concordancia
laatu bixoñe,0,laatu,bixoñe,ZERO,0,2pl,⁠error_concordancia
naa bigaya'lu,0,naa,bigaya,lu,1,1sg,⁠error_concordancia
lii biga,0,lii,biga,ZERO,0,2sg,⁠error_concordancia
laabe biga'lu,0,laabe,biga,lu,1,3sg,⁠error_concordancia
laanu biga'du,0,laanu,biga,du,1,1pl_incl,⁠error_concordancia
laadu biga'nu,0,laadu,biga,nu,1,1pl_exc,⁠error_concordancia
laatu biga,0,laatu,biga,ZERO,0,2pl,⁠error_concordancia
naa bidiá'lu,0,naa,bidiá,lu,1,1sg,⁠error_concordancia
lii bidi,0,lii,bidi,ZERO,0,2sg,⁠error_concordancia
laabe bidi'lu,0,laabe,bidi,lu,1,3sg,⁠error_concordancia
laanu bidi'du,0,laanu,bidi,du,1,1pl_incl,⁠error_concordancia
laadu bidi'nu,0,laadu,bidi,nu,1,1pl_exc,⁠error_concordancia
laatu bidi,0,laatu,bidi,ZERO,0,2pl,⁠error_concordancia
naa gudxe'lu,0,naa,gudxe,lu,1,1sg,⁠error_concordancia
lii gudxi,0,lii,gudxi,ZERO,0,2sg,⁠error_concordancia
laabe gudxi'lu,0,laabe,gudxi,lu,1,3sg,⁠error_concordancia
laanu gudxi'du,0,laanu,gudxi,du,1,1pl_incl,⁠error_concordancia
laadu gudxi'nu,0,laadu,gudxi,nu,1,1pl_exc,⁠error_concordancia
laatu gudxi,0,laatu,gudxi,ZERO,0,2pl,⁠error_concordancia
